subj_ID,condition,own_words,kept_words,elim_words
16,keep,"[('looks', 6), ('the', 4), ('like', 4), ('Wondering', 3), ('is', 2), ('this', 2), ('He', 2), ('person', 2), ('It', 2), ('Looks', 2), ('Sad.', 2), ('what', 2), ('they', 2), ('to', 2), ('in', 2), ('This', 1), ('violent.', 1), (""It's"", 1), ('sad', 1), ('keeps', 1), ('happening.', 1), ('shocked.', 1), ('The', 1), ('on', 1), ('ground', 1), ('possibly', 1), ('unconscious,', 1), ('which', 1), ('makes', 1), ('me', 1), ('worried.', 1), ('was', 1), ('protesting/advocating.', 1), ('very', 1), ('uncomfortable.', 1), ('are', 1), ('convicting', 1), ('him', 1), ('of.', 1), ('In', 1), ('his', 1), ('face.', 1), (""he's"", 1), ('not', 1), ('trying', 1), ('fight.', 1), ('Unfortunate.', 1), ('she', 1), ('said/did.', 1), ('That', 1)]","[('is', 16), ('the', 16), ('to', 15), ('I', 15), ('being', 13), ('like', 12), ('and', 11), ('man', 11), ('looks', 11), ('feel', 9), ('police', 9), ('a', 9), ('of', 8), ('by', 8), ('are', 8), ('this', 7), ('they', 7), ('he', 6), ('it', 6), ('arrested', 6), ('cops', 5), ('person', 5), ('down', 4), ('that', 4), ('for', 4), ('black', 4), ('A', 4), ('sad', 4), ('one', 4), ('so', 3), ('because', 3), (""That's"", 3), ('in', 3), ('on', 3), ('she', 3), ('be', 3), ('lot', 3), ('why', 3), ('screaming', 2), ('much', 2), ('really', 2), ('was', 2), ('police.', 2), ('Why', 2), ('away', 2), ('arrest', 2), ('just', 2), ('no', 2), ('people.', 2), ('held', 2)]","[('the', 19), ('to', 18), ('is', 16), ('I', 15), ('being', 13), ('by', 12), ('police', 12), ('a', 11), ('of', 11), ('this', 7), ('for', 7), ('like', 7), ('feel', 6), ('and', 6), ('looks', 6), ('on', 5), ('be', 5), ('in', 5), ('man', 5), ('arrested', 4), ('have', 4), ('woman', 4), ('This', 4), ('people', 4), ('are', 4), ('lot', 4), ('it', 4), ('person', 3), ('guy', 3), ('as', 3), ('cops', 3), ('not', 3), ('why', 3), ('she', 3), ('arrested.', 3), ('doing', 3), ('at', 3), ('what', 3), ('A', 3), ('these', 2), ('upset', 2), ('protester', 2), ('sorry', 2), ('white', 2), ('seems', 2), ('see', 2), ('so', 2), ('how', 2), ('get', 2), ('am', 2)]"
17,eliminate,"[('and', 7), ('the', 7), ('sad', 4), ('is', 4), ('angry', 3), ('in', 3), ('disturbed', 2), ('happening', 2), ('so', 2), ('much', 2), ('it', 2), ('disturbing', 2), ('why', 2), ('need', 2), ('him', 2), ('that', 2), ('i', 2), ('am', 2), ('he', 2), ('power', 2), ('of', 2), ('police', 2), ('at', 2), ('for', 2), ('all', 2), ('ironic', 1), ('injustice', 1), ('resilient', 1), ('confused', 1), (""what's"", 1), ('there', 1), ('pain', 1), ('his', 1), ('face', 1), ('unsure', 1), ('what', 1), ('but', 1), ('scary', 1), ('beautiful', 1), ('photography,', 1), ('do', 1), ('they', 1), ('to', 1), ('hold', 1), ('like', 1), ('eyes', 1), ('scare', 1), ('me', 1), ('position', 1), ('pride', 1)]","[('being', 17), ('the', 15), ('man', 12), ('for', 12), ('is', 11), ('I', 11), ('and', 10), ('police', 10), ('he', 9), ('in', 9), ('arrested', 9), ('feel', 9), ('by', 9), ('to', 9), ('a', 9), ('this', 8), ('be', 8), ('on', 7), ('This', 6), ('black', 6), ('person', 5), ('held', 5), ('are', 5), ('probably', 5), ('A', 5), ('What', 4), ('did', 4), ('looks', 4), ('sad', 4), ('like', 4), ('not', 4), ('why', 4), ('it', 4), ('of', 4), ('do?', 3), ('The', 3), ('she', 3), ('makes', 3), ('worried', 3), ('has', 3), ('his', 3), ('force', 3), ('as', 3), ('seems', 3), ('but', 3), ('young', 3), ('officers.', 3), ('woman', 3), ('arrest', 3), ('that', 3)]","[('is', 20), ('a', 15), ('to', 14), ('I', 14), ('the', 14), ('this', 13), ('of', 12), ('looks', 10), ('police', 9), ('not', 9), ('be', 8), ('like', 8), ('This', 8), ('and', 8), ('being', 8), ('he', 7), ('in', 7), ('an', 6), ('arrest', 6), ('person', 6), ('man', 6), ('arrested', 6), ('that', 5), ('what', 5), ('but', 5), ('for', 5), ('The', 4), ('they', 4), ('are', 4), ('wonder', 4), ('guy', 4), ('by', 4), ('lot', 4), ('or', 4), ('much', 4), ('have', 4), ('as', 3), ('cops.', 3), ('just', 3), ('too', 3), ('force', 3), ('feel', 3), ('protest', 3), ('were', 3), ('think', 3), ('cops', 3), ('arresting', 2), ('black', 2), ('am', 2), ('sure', 2)]"
20,keep,"[('this', 4), ('to', 4), ('and', 4), ('Black', 4), ('Man', 3), ('man', 3), ('is', 2), ('looks', 2), ('angry', 2), ('be', 2), ('violent', 2), ('woman', 2), ('officers', 2), ('Oh', 1), ('my', 1), ('God', 1), (""don't"", 1), ('hurt', 1), ('me', 1), ('hurtful', 1), ('Young', 1), ('frighten', 1), ('Lots', 1), ('of', 1), ('emotions', 1), ('here', 1), ('Afro-American', 1), ('very', 1), ('Are', 1), ('the', 1), ('men', 1), ('trying', 1), ('helpful', 1), ('I', 1), ('feel', 1), ('scared', 1), ('for', 1), ('young', 1), ('White', 1), ('Cops', 1), ('being', 1), ('detained', 1), ('Looks', 1), ('Horrified', 1), ('Scared', 1), ('Arresting', 1), ('Youth', 1), ('seems', 1), ('okay', 1), ('Inappropriate', 1)]","[('the', 16), ('police', 16), ('a', 15), ('I', 14), ('to', 13), ('like', 11), ('is', 10), ('being', 10), ('are', 8), ('for', 7), ('in', 7), ('arrested', 7), ('looks', 7), ('they', 6), ('this', 6), ('what', 6), ('feel', 5), ('have', 5), ('by', 5), ('man', 5), ('seems', 5), ('that', 5), ('of', 4), ('he', 4), ('Black', 4), ('The', 4), ('person', 4), ('arrested.', 4), ('at', 4), ('so', 4), ('look', 4), ('Police', 3), ('wonder', 3), ('did', 3), ('as', 3), ('arrests', 3), (""don't"", 3), ('do', 3), ('This', 3), ('screaming', 3), ('black', 3), ('on', 3), ('cops', 3), ('with', 3), ('many', 3), ('be', 3), ('just', 3), ('it', 3), ('upset', 3), ('she', 3)]","[('is', 22), ('to', 18), ('I', 16), ('this', 16), ('a', 13), ('the', 11), ('police', 10), ('like', 10), ('and', 9), ('looks', 8), ('being', 6), ('woman', 6), ('she', 6), ('what', 5), ('feel', 5), ('by', 5), ('arrested', 5), ('they', 5), ('of', 5), ('am', 5), ('be', 5), ('in', 4), ('arrest', 4), ('have', 4), ('are', 4), ('man', 4), ('This', 4), ('going', 3), ('on', 3), ('he', 3), ('it', 3), ('sad', 3), ('someone', 3), ('who', 3), ('people', 3), ('or', 3), ('why', 3), ('Police', 3), ('not', 3), ('so', 3), ('has', 3), ('with', 3), ('response', 2), ('but', 2), ('happen', 2), ('seeing', 2), ('male', 2), ('black', 2), ('been', 2), ('wonder', 2)]"
21,eliminate,"[('I', 11), ('what', 8), ('the', 8), ('he', 7), ('wonder', 6), ('to', 6), ('This', 5), ('like', 5), ('looks', 5), ('picture', 4), ('they', 4), ('why', 4), ('is', 4), ('of', 3), (""he's"", 3), ('this', 3), ('have', 3), ('him', 3), (""I'm"", 3), ('did', 3), ('she', 3), ('makes', 2), ('me', 2), ('police', 2), (""don't"", 2), ('that', 2), ('in', 2), ('a', 2), ('but', 2), ('sad', 2), ('did,', 2), ('and', 2), ('context', 2), ('know', 2), ('ground', 2), ('that.', 2), ('curious', 2), ('She', 2), ('wrong,', 2), ('photo', 2), ('for', 2), ('man', 2), ('sad,', 1), ('because', 1), ('think', 1), ('brutality', 1), ('headlock,', 1), ('could', 1), ('be', 1), ('messing', 1)]","[('the', 28), ('is', 22), ('to', 20), ('looks', 18), ('a', 17), ('I', 16), ('this', 15), ('police', 14), ('man', 13), ('being', 13), ('like', 13), ('This', 12), ('in', 9), ('by', 9), ('and', 8), ('upset', 8), ('are', 7), ('for', 7), ('be', 7), ('feel', 7), ('that', 6), ('of', 6), ('arrested', 6), ('with', 6), ('he', 6), ('force', 5), ('him', 5), ('on', 5), ('why', 5), ('it', 5), ('really', 5), ('what', 5), ('am', 5), ('woman', 5), ('if', 4), ('arresting', 4), ('me', 4), ('she', 4), ('as', 4), ('wrong.', 3), ('An', 3), ('african', 3), ('american', 3), ('too', 3), ('face', 3), ('more', 3), ('because', 3), ('pain', 3), ('very', 3), ('not', 3)]","[('to', 21), ('is', 20), ('the', 16), ('I', 15), ('this', 12), ('being', 11), ('of', 9), ('what', 7), ('police', 7), ('a', 7), ('man', 7), ('that', 7), ('are', 7), ('like', 6), ('arrested', 6), ('and', 6), ('they', 6), ('have', 6), ('by', 5), ('be', 5), ('no', 5), ('person', 5), ('cops', 5), ('black', 4), ('looks', 4), ('she', 4), ('why', 4), ('as', 4), ('on', 4), ('feel', 4), ('just', 4), ('This', 4), ('it', 4), ('A', 3), ('so', 3), ('for', 3), ('he', 3), ('must', 3), ('if', 3), ('see', 3), ('wonder', 2), ('arrested.', 2), ('am', 2), ('curious', 2), ('happening', 2), ('seems', 2), ('but', 2), ('response', 2), ('guy', 2), ('He', 2)]"
22,keep,"[('is', 10), ('he', 7), ('being', 6), ('to', 6), ('so', 5), ('she', 4), ('and', 4), ('the', 4), ('at', 3), ('not', 3), ('but', 3), ('seems', 3), ('be', 3), ('in', 3), ('are', 3), ('of', 3), ('makes', 3), ('me', 3), ('aggressively', 2), ('up,', 2), ('violent,', 2), ('his', 2), ('grabbed', 2), ('around', 2), ('scared,', 1), ('overpowered', 1), ('unhappy.', 1), ('pulled', 1), ('listened', 1), ('upset.', 1), ('helpless', 1), ('attacked', 1), ('handcuffed', 1), ('roughed', 1), ('still', 1), ('heard', 1), ('has', 1), ('given', 1), ('carried', 1), ('like', 1), ('an', 1), ('animal,', 1), ('totally', 1), ('dehumanized', 1), ('undignified', 1), ('scary,', 1), ('person', 1), ('completely', 1), ('distraught', 1), ('holding', 1)]","[('is', 20), ('the', 17), ('to', 14), ('This', 13), ('a', 11), ('I', 10), ('this', 8), ('police', 8), ('like', 7), ('in', 6), ('being', 6), ('man', 6), ('of', 6), ('that', 6), ('for', 5), ('on', 5), ('seems', 5), ('but', 5), ('he', 5), ('what', 5), ('arrested', 5), ('guy', 4), ('have', 4), ('and', 4), ('be', 4), ('person', 4), ('they', 4), ('looks', 4), ('black', 4), ('with', 4), ('by', 4), ('arrested.', 4), ('feel', 3), ('going', 3), ('woman', 3), (""don't"", 3), ('one', 3), ('him', 3), ('just', 3), ('officers', 3), ('as', 3), ('Man', 3), ('doing', 3), ('sad', 2), ('wonder', 2), ('policeman', 2), ('at', 2), ('who', 2), ('away', 2), ('much', 2)]","[('the', 22), ('to', 17), ('is', 15), ('this', 12), ('a', 11), ('police', 10), ('like', 10), ('I', 9), ('man', 9), ('in', 9), ('of', 8), ('on', 8), ('arrested', 8), ('looks', 7), ('being', 7), ('feel', 6), ('This', 6), ('not', 6), ('they', 6), ('for', 5), ('he', 5), ('you', 5), ('and', 5), ('cops', 5), ('by', 5), ('be', 4), ('have', 4), ('at', 4), ('their', 4), ('these', 4), ('The', 4), ('really', 3), ('that', 3), ('just', 3), ('out', 3), ('person', 3), ('Looks', 3), ('arresting', 3), ('black', 3), ('down', 3), ('are', 3), ('doing', 3), ('look', 3), ('guy', 3), ('what', 3), ('need', 3), ('or', 3), ('arrest', 3), ('woman', 3), ('comes', 2)]"
23,eliminate,"[('the', 33), ('to', 15), ('is', 13), ('man', 12), ('and', 11), ('looks', 11), ('he', 9), ('this', 9), ('not', 9), ('a', 9), ('feel', 8), ('i', 8), ('police', 7), ('as', 7), ('do', 7), ('are', 6), ('but', 6), ('of', 6), ('me', 6), ('be', 6), ('on', 6), ('officer', 5), ('seems', 5), ('if', 5), ('his', 4), ('makes', 4), ('upset', 4), ('yelling', 4), ('like', 4), ('men', 4), ('therefore', 4), ('upsets', 4), ('seem', 3), ('there', 3), ('does', 3), ('look', 3), ('still', 3), ('see', 3), ('out', 3), ('him', 3), ('that', 3), ('younger', 3), ('one', 3), ('ground', 3), ('woman', 3), ('they', 3), ('in', 3), ('being', 2), ('dressed', 2), ('either', 2)]","[('is', 19), ('being', 16), ('the', 14), ('police', 14), ('I', 13), ('a', 12), ('looks', 10), ('to', 10), ('and', 10), ('by', 10), ('man', 9), ('in', 9), ('why', 8), ('on', 8), ('of', 8), ('black', 7), ('arrested', 7), ('people', 6), ('like', 6), ('this', 6), ('person', 5), ('he', 5), ('an', 5), ('A', 5), ('Black', 5), ('woman', 5), ('she', 4), ('as', 4), ('so', 4), ('This', 4), ('not', 4), ('pain.', 4), ('up', 3), ('going', 3), ('am', 3), ('The', 3), ('makes', 3), ('are', 3), ('one', 3), ('what', 3), ('have', 3), ('arrest', 3), ('held', 3), ('officers.', 3), ('feel', 3), ('handcuffed', 3), ('be', 3), ('wonder', 2), ('getting', 2), (""they're"", 2)]","[('is', 22), ('being', 16), ('the', 14), ('I', 14), ('to', 14), ('this', 13), ('a', 12), ('arrested', 12), ('police', 12), ('he', 10), ('man', 9), ('by', 8), ('and', 8), ('probably', 7), ('like', 7), ('in', 6), ('of', 6), ('not', 6), ('for', 5), ('looks', 5), ('why', 5), ('This', 5), ('seem', 5), ('be', 5), ('person', 5), ('but', 4), ('she', 4), ('am', 4), ('something', 4), ('so', 4), ('their', 4), ('The', 4), ('are', 4), ('on', 4), ('black', 4), ('woman', 3), ('It', 3), ('at', 3), ('or', 3), ('as', 3), ('feel', 3), ('doing', 3), ('cops', 3), ('what', 3), ('resisting', 3), ('A', 3), ('did', 3), ('seems', 2), ('upset', 2), ('some', 2)]"
24,keep,"[('I', 23), ('feel', 23), ('is', 14), ('as', 10), ('the', 9), ('a', 9), ('like', 8), ('in', 6), ('this', 6), ('and', 5), ('to', 5), ('for', 5), ('police', 5), ('very', 4), ('he', 4), ('me', 4), ('uneasy', 4), ('person', 4), ('seems', 4), ('making', 3), ('situation.', 3), ('discomfort', 3), ('individual', 3), ('who', 3), ('him', 3), ('man', 3), ('there', 2), ('more', 2), ('uneasy.', 2), ('sorry', 2), ('looks', 2), ('am', 2), ('uncomfortable', 2), ('since', 2), ('be', 2), ('He', 2), ('This', 2), ('have', 2), ('of', 2), ('these', 2), ('officers', 2), ('what', 2), ('not', 2), ('much', 2), ('uncomfortable,', 2), ('just', 2), ('she', 2), ('fear.', 1), ('distressed,uneasy', 1), ('scared.', 1)]","[('I', 14), ('a', 14), ('the', 13), ('to', 13), ('is', 12), ('like', 11), ('this', 11), ('police', 11), ('and', 10), ('being', 10), ('for', 9), ('in', 8), ('be', 8), ('looks', 7), ('arrested', 7), ('what', 7), ('feel', 6), ('by', 6), ('man', 6), ('A', 6), ('he', 6), ('person', 5), ('on', 5), ('Police', 4), ('Again,', 4), ('doing', 4), ('their', 4), ('job...', 4), ('many', 4), (""don't"", 4), ('getting', 4), ('protest', 4), ('it', 4), ('of', 4), ('rally', 4), ('arrest', 4), ('This', 3), ('arresting', 3), ('man.', 3), ('too', 3), ('trying', 3), ('black', 3), ('one', 3), ('know', 3), ('about', 3), ('why', 3), ('that', 3), ('during', 3), ('gets', 3), ('woman', 3)]","[('the', 22), ('is', 19), ('to', 16), ('I', 14), ('police', 13), ('a', 13), ('and', 12), ('this', 11), ('in', 11), ('man', 10), ('looks', 10), ('like', 10), ('being', 8), ('of', 7), ('be', 6), ('he', 6), ('for', 6), ('This', 5), ('by', 5), ('arrest', 5), ('not', 5), ('The', 4), ('person', 4), ('feel', 4), ('look', 4), ('on', 4), ('as', 4), ('with', 4), ('He', 3), ('seems', 3), ('have', 3), ('what', 3), ('they', 3), ('are', 3), ('pain.', 3), ('at', 3), ('was', 3), ('seem', 3), ('arresting', 3), ('probably', 3), ('going', 3), ('that', 3), ('something', 3), ('am', 3), ('why', 3), ('woman', 3), ('cops', 3), ('guy', 2), ('just', 2), ('picture,', 2)]"
26,keep,"[('he', 7), ('like', 6), ('seems', 6), ('of', 5), (""doesn't"", 3), ('lots', 3), ('she', 3), ('did', 3), ('a', 3), ('to', 2), ('looks', 2), (""he's"", 2), ('people', 2), ('for', 2), ('1', 2), ('guy', 2), ('on', 2), ('seem', 2), ('much', 2), ('lot', 2), ('force', 2), ('look', 1), ('good', 1), ('inhumane', 1), ('way', 1), ('bring', 1), ('someone', 1), ('out', 1), ('in', 1), ('pain,', 1), ('him', 1), ('wonder', 1), ('what', 1), ('cops', 1), ('wrong', 1), ('really', 1), ('scared', 1), ('have', 1), ('given', 1), ('up', 1), ('anguished', 1), ('why', 1), ('is', 1), ('completely', 1), ('the', 1), ('ground', 1), ('fearful', 1), ('and', 1), ('stressed', 1), ('just', 1)]","[('the', 14), ('this', 13), ('is', 11), ('to', 11), ('like', 10), ('I', 9), ('a', 9), ('looks', 8), ('being', 8), ('be', 7), ('man', 6), ('person', 6), ('in', 6), ('are', 5), ('arrested', 5), ('The', 5), ('police', 5), ('what', 4), ('they', 4), ('as', 4), ('of', 4), ('by', 4), ('she', 4), ('that', 4), ('This', 3), ('and', 3), ('He', 3), ('not', 3), ('with', 3), ('seems', 3), ('an', 3), ('arrests', 3), ('woman', 3), ('cops', 3), ('She', 3), ('why', 3), ('black', 3), ('on', 3), ('very', 2), ('wonder', 2), ('picture', 2), (""didn't"", 2), ('it', 2), ('him.', 2), ('done', 2), ('getting', 2), ('riot', 2), ('you', 2), ('overreaction', 2), ('police.', 2)]","[('to', 16), ('is', 13), ('a', 11), ('like', 11), ('this', 9), ('looks', 8), ('police', 8), ('the', 7), ('arrested', 6), ('I', 6), ('being', 6), ('be', 6), ('The', 5), ('probably', 5), ('are', 5), ('of', 5), ('This', 5), ('as', 5), ('he', 4), ('on', 4), ('black', 4), ('too', 4), ('arrest.', 4), ('man', 3), ('but', 3), ('that', 3), ('in', 3), ('many', 3), ('cops', 3), ('getting', 3), ('so', 3), (""don't"", 3), ('feel', 2), ('arrested.', 2), ('lot', 2), ('Again,', 2), ('doing', 2), ('their', 2), ('happen.', 2), ('cops.', 2), ('down', 2), ('who', 2), ('it', 2), ('pain', 2), ('very', 2), ('his', 2), ('It', 2), (""there's"", 2), ('man.', 2), ('much', 2)]"
27,eliminate,"[('for', 7), ('this', 7), ('looks', 6), ('like', 5), ('safety', 4), ('concern', 4), ('in', 4), ('Concern', 4), ('the', 4), (""he's"", 3), ('with', 3), ('man', 3), ('his', 2), ('Discomfort', 2), ('Sympathy', 2), ('pain', 2), ('they', 2), ('are', 2), ('being', 2), ('is', 2), ('alarmed', 1), ('he', 1), ('pain--', 1), ('discomfort', 1), ('and', 1), ('American', 1), ('racial', 1), ('politics', 1), ('that', 1), ('Disgust', 1), ('police', 1), ('situation', 1), ('woman', 1), ('alarm--', 1), ('Feeling', 1), ('of', 1), ('unfairness', 1), ('society', 1), ('It', 1), ('hurting', 1), ('her--', 1), (""man's"", 1), ('detained', 1), ('--', 1), ('I', 1), ('highly', 1), ('doubt', 1), ('she', 1), ('did', 1), ('anything', 1)]","[('I', 37), ('feel', 34), ('the', 28), ('like', 21), ('looks', 18), ('is', 18), ('and', 17), ('a', 14), ('This', 14), ('police', 12), ('that', 11), ('man', 11), ('to', 11), ('of', 9), ('in', 9), ('by', 9), ('upset', 9), ('are', 8), ('it', 7), ('this', 7), ('being', 7), ('really', 7), ('because', 7), ('up.', 7), ('they', 6), ('so', 5), ('pain', 5), ('for', 5), ('sad', 5), ('messed', 5), ('sure', 4), ('case', 4), ('be', 4), ('hurting', 4), ('seems', 3), ('he', 3), ('brutality', 3), (""I'm"", 3), ('not', 3), ('why', 3), ('what', 3), ('if', 3), ('guy', 3), ('racial', 3), ('officers.', 3), ('much', 3), ('violence', 3), (""don't"", 3), ('hurt', 3), ('his', 3)]","[('the', 28), ('to', 16), ('a', 14), ('is', 12), ('police', 11), ('in', 11), ('I', 10), ('being', 9), ('this', 9), ('of', 9), ('for', 7), ('are', 7), ('like', 7), ('feel', 6), ('and', 6), ('person', 6), ('man', 6), ('by', 6), ('This', 5), ('on', 5), ('arrested', 5), ('cops', 5), ('arrest', 5), ('that', 5), ('looks', 5), ('be', 5), ('just', 4), ('they', 4), ('him', 4), ('doing', 4), ('she', 4), ('have', 4), ('black', 3), ('many', 3), ('trying', 3), ('all', 3), ('what', 3), ('up', 3), ('but', 3), ('people', 3), ('arrested.', 3), ('The', 3), ('woman', 3), ('seem', 3), ('not', 3), ('officers', 3), ('another', 2), ('A', 2), ('why', 2), ('so', 2)]"
28,keep,"[('like', 13), ('are', 10), ('I', 8), ('that', 8), ('they', 7), ('looks', 7), ('the', 7), ('to', 7), ('him', 6), ('man', 6), ('a', 6), (""don't"", 5), ('this', 4), ('so', 4), ('Why', 3), ('The', 3), ('being', 3), ('many', 3), ('policemen', 3), ('calm.', 3), ('This', 3), ('arresting', 2), ('make', 2), ('relatively', 2), ('there', 2), ('in', 2), ('look', 2), ('carrying', 2), ('for', 2), ('and', 2), ('at', 2), ('ground', 2), ('while', 2), ('he', 2), ('be', 2), ('seems', 2), ('law', 2), ('enforcers', 2), ('Anger,', 1), ('confusion', 1), ('-', 1), ('why', 1), ('her?', 1), ('treating', 1), ('that?', 1), ('Their', 1), ('faces', 1), ('scary.', 1), ('A', 1), ('scenario', 1)]","[('is', 22), ('a', 20), ('the', 19), ('police', 18), ('to', 18), ('like', 17), ('looks', 13), ('being', 13), ('I', 10), ('are', 9), ('this', 8), ('they', 7), ('This', 7), ('that', 7), ('arrested', 7), ('what', 6), ('by', 6), ('and', 6), ('in', 6), ('arresting', 5), ('of', 5), ('person', 5), ('need', 5), ('not', 5), ('An', 5), ('african', 5), ('american', 5), ('male', 5), ('officer', 5), ('as', 5), ('going', 4), ('it', 4), ('for', 4), ('cops', 4), ('just', 4), ('down', 4), ('but', 4), ('The', 3), ('do', 3), ('he', 3), ('one', 3), ('does', 3), ('have', 3), ('excessive', 3), ('force', 3), ('peaceful', 3), ('doing', 3), ('their', 3), ('them', 3), ('use', 3)]","[('the', 22), ('is', 18), ('I', 17), ('police', 16), ('a', 13), ('to', 13), ('being', 12), ('looks', 12), ('like', 10), ('man', 9), ('and', 8), ('this', 8), ('of', 8), ('in', 7), ('by', 7), ('feel', 7), ('why', 6), ('black', 5), ('as', 5), ('he', 5), ('arrested', 4), ('she', 4), ('woman', 4), ('so', 4), ('This', 4), ('am', 4), ('were', 4), ('not', 4), ('on', 4), ('it', 4), ('for', 3), ('very', 3), ('all', 3), ('have', 3), ('one', 3), ('but', 3), ('be', 3), ('officers', 3), (""don't"", 2), ('person', 2), ('It', 2), ('an', 2), ('protesters', 2), ('about', 2), ('response', 2), ('arrest', 2), ('what', 2), ('doing', 2), ('their', 2), ('who', 2)]"
29,eliminate,"[('looks', 6), ('the', 5), ('sad', 4), ('of', 4), ('black', 4), ('feel', 4), ('cops', 4), ('a', 3), ('he', 3), ('is', 3), ('police', 3), ('i', 3), ('that', 3), ('makes', 2), ('me', 2), ('I', 2), ('pain', 2), ('in', 2), ('her', 2), ('little', 2), ('this', 2), ('to', 2), ('force', 2), ('on', 2), ('and', 2), ('unnecessary', 2), ('his', 2), ('look', 2), ('are', 2), ('why', 2), ('scary,', 1), ('at', 1), ('injustice', 1), ('see', 1), ('lot', 1), ('eyes', 1), ('being', 1), ('treated', 1), ('unfairly', 1), ('brutality', 1), ('toward', 1), ('people', 1), ('less', 1), ('because', 1), ('one', 1), ('uncomfortable,', 1), ('lady', 1), ('cool.', 1), ('be', 1), ('or', 1)]","[('the', 23), ('I', 21), ('is', 20), ('to', 17), ('a', 16), ('feel', 13), ('are', 10), ('and', 9), ('like', 9), ('looks', 8), ('for', 8), ('that', 7), ('man', 7), ('this', 7), ('of', 7), ('on', 7), ('person', 6), ('in', 6), ('This', 6), ('what', 6), ('they', 6), ('police', 6), ('sad', 5), ('it', 5), ('guy', 5), ('being', 5), ('force', 4), ('look', 4), ('one', 4), ('has', 4), ('upset', 3), ('way', 3), ('pain.', 3), ('arresting', 3), ('he', 3), ('his', 3), ('people', 3), ('with', 3), ('at', 3), ('black', 3), ('peaceful', 3), ('really', 3), ('who', 3), ('Police', 3), ('down', 3), ('seems', 3), ('about', 2), ('pain', 2), ('arrested', 2), ('not', 2)]","[('is', 18), ('the', 18), ('I', 15), ('a', 12), ('police', 12), ('in', 12), ('to', 10), ('like', 10), ('looks', 9), ('being', 9), ('he', 7), ('and', 6), ('are', 6), ('This', 5), ('what', 5), ('of', 5), ('for', 5), ('but', 5), ('man', 5), ('on', 5), ('it', 5), ('guy', 4), ('not', 4), ('have', 4), ('feel', 4), ('arrested', 4), ('be', 3), ('this', 3), ('woman', 3), ('probably', 3), ('A', 3), ('by', 3), ('cops', 3), ('they', 3), ('pain.', 3), ('going', 3), ('black', 3), ('arrested.', 3), ('arresting', 3), ('was', 3), ('really', 2), ('angry,', 2), ('about.', 2), (""don't"", 2), ('much', 2), ('response', 2), ('as', 2), ('sympathy', 2), ('she', 2), ('seems', 2)]"
32,keep,"[('is', 6), ('a', 6), ('the', 5), ('he', 5), ('and', 3), ('for', 3), ('like', 3), ('in', 3), ('I', 2), ('day', 2), ('from', 2), ('looks', 2), ('Looks', 2), ('She', 2), ('with', 2), ('Injustice', 1), ('Racism', 1), ('Terror', 1), ('do', 1), ('not', 1), ('know', 1), ('who', 1), ('prisoner', 1), ('Just', 1), ('normal', 1), ('at', 1), ('office', 1), ('these', 1), ('fucks', 1), ('His', 1), ('face', 1), ('hidden,', 1), ('just', 1), ('as', 1), ('society', 1), ('He', 1), ('my', 1), ('relative', 1), ('Danny', 1), ('Crying', 1), ('out', 1), ('pain', 1), ('Less', 1), ('racial', 1), ('act', 1), ('when', 1), ('black', 1), ('police', 1), ('officers?/', 1), (""80's"", 1)]","[('to', 20), ('a', 17), ('I', 15), ('the', 15), ('this', 14), ('like', 13), ('of', 9), ('be', 9), ('looks', 8), ('feel', 8), ('are', 8), ('is', 8), ('in', 7), ('not', 7), ('and', 7), ('seems', 7), ('man', 6), ('police', 6), ('they', 6), ('why', 6), ('have', 6), ('she', 6), ('being', 6), ('but', 5), ('cops', 5), ('on', 5), ('him', 5), ('that', 5), ('what', 5), ('This', 5), ('guy', 4), ('carrying', 4), ('by', 4), ('for', 4), ('angry', 3), ('upset', 3), ('black', 3), ('peaceful', 3), ('he', 3), ('people', 3), ('sure', 3), ('officers', 3), ('with', 3), (""don't"", 3), ('arrested', 3), ('woman', 3), ('seem', 3), ('because', 3), ('young', 2), ('look', 2)]","[('to', 22), ('the', 18), ('I', 17), ('is', 15), ('police', 13), ('being', 12), ('man', 11), ('and', 9), ('a', 9), ('on', 9), ('by', 9), ('looks', 7), ('arrested', 7), ('are', 6), ('feel', 6), ('this', 6), ('like', 6), ('This', 6), ('what', 6), ('cops', 5), ('of', 5), ('that', 5), ('it', 5), ('be', 5), ('down', 5), ('wonder', 5), ('in', 4), ('have', 4), ('guy', 4), ('why', 4), ('just', 4), ('they', 3), ('sad', 3), ('am', 3), ('not', 3), ('need', 3), ('many', 3), ('A', 3), ('resisting', 3), ('getting', 3), ('person', 3), ('protesters', 2), ('people', 2), ('think', 2), ('but', 2), (""It's"", 2), ('with', 2), ('violence', 2), ('he', 2), ('black', 2)]"
